taskID,title,description,dueDate,status,priority,assignee,projectID
1,Task1,Description of Task 1,2021-08-21,0,0,5,4
2,Task2,Description of Task 2,2021-03-12,0,0,5,13
3,Task3,Description of Task 3,2021-04-21,0,0,7,5
4,Task4,Description of Task 4,2023-02-21,0,0,6,15
5,Task5,Description of Task 5,2022-04-13,0,0,3,1
6,Task6,Description of Task 6,2020-09-27,0,0,8,8
7,Task7,Description of Task 7,2020-08-13,0,0,4,3
8,Task8,Description of Task 8,2022-08-10,0,0,10,2
9,Task9,Description of Task 9,2023-01-13,0,0,9,13
10,Task10,Description of Task 10,2020-07-26,0,0,5,9
11,Task11,Description of Task 11,2021-05-19,0,0,5,4
12,Task12,Description of Task 12,2023-03-02,0,0,8,11
13,Task13,Description of Task 13,2022-03-26,0,0,7,17
14,Task14,Description of Task 14,2022-07-25,0,0,6,15
15,Task15,Description of Task 15,2023-01-21,0,0,7,1
16,Task16,Description of Task 16,2022-12-03,0,0,10,19
17,Task17,Description of Task 17,2020-01-03,0,0,5,4
18,Task18,Description of Task 18,2023-07-17,0,0,3,7
19,Task19,Description of Task 19,2020-06-07,0,0,2,20
20,Task20,Description of Task 20,2022-06-01,0,0,7,14
21,Task21,Description of Task 21,2021-04-24,0,0,8,9
22,Task22,Description of Task 22,2023-03-18,0,0,5,5
23,Task23,Description of Task 23,2020-03-15,0,0,6,16
24,Task24,Description of Task 24,2020-03-18,0,0,7,12
25,Task25,Description of Task 25,2023-05-10,0,0,10,20
26,Task26,Description of Task 26,2021-04-12,0,0,9,18
27,Task27,Description of Task 27,2021-08-18,0,0,4,9
28,Task28,Description of Task 28,2020-10-18,0,0,8,11
29,Task29,Description of Task 29,2022-09-04,0,0,4,11
30,Task30,Description of Task 30,2023-10-23,0,0,2,19
31,Task31,Description of Task 31,2022-02-27,0,0,8,1
32,Task32,Description of Task 32,2023-04-17,0,0,5,2
33,Task33,Description of Task 33,2022-04-17,0,0,7,10
34,Task34,Description of Task 34,2021-12-04,0,0,10,17
35,Task35,Description of Task 35,2020-03-07,0,0,3,9
36,Task36,Description of Task 36,2021-04-02,0,0,6,16
37,Task37,Description of Task 37,2021-06-18,0,0,10,14
38,Task38,Description of Task 38,2023-12-07,0,0,2,18
39,Task39,Description of Task 39,2022-10-06,0,0,3,7
40,Task40,Description of Task 40,2020-04-14,0,0,10,18
41,Task41,Description of Task 41,2021-03-09,0,0,8,15
42,Task42,Description of Task 42,2021-04-09,0,0,10,16
43,Task43,Description of Task 43,2020-04-09,0,0,2,15
44,Task44,Description of Task 44,2023-01-17,0,0,7,5
45,Task45,Description of Task 45,2023-10-11,0,0,1,6
46,Task46,Description of Task 46,2022-06-07,0,0,7,11
47,Task47,Description of Task 47,2022-10-22,0,0,2,5
48,Task48,Description of Task 48,2023-01-24,0,0,3,8
49,Task49,Description of Task 49,2021-01-18,0,0,2,14
50,Task50,Description of Task 50,2021-07-17,0,0,7,8
